,date,default,isPartial,delta
20742,2021-03-16 04:00:00,77,False,0.1
20743,2021-03-16 05:00:00,65,False,-0.15584415584415584
20744,2021-03-16 06:00:00,59,False,-0.09230769230769231
20745,2021-03-16 07:00:00,74,False,0.2542372881355932
20746,2021-03-16 08:00:00,76,False,0.02702702702702703
20747,2021-03-16 09:00:00,76,False,0.0
20748,2021-03-16 10:00:00,74,False,-0.02631578947368421
20749,2021-03-16 11:00:00,65,False,-0.12162162162162163
20750,2021-03-16 12:00:00,68,False,0.046153846153846156
20751,2021-03-16 13:00:00,71,False,0.04411764705882353
20752,2021-03-16 14:00:00,73,False,0.028169014084507043
20753,2021-03-16 15:00:00,72,False,-0.0136986301369863
20754,2021-03-16 16:00:00,65,False,-0.09722222222222222
20755,2021-03-16 17:00:00,63,False,-0.03076923076923077
20756,2021-03-16 18:00:00,62,False,-0.015873015873015872
20757,2021-03-16 19:00:00,64,False,0.03225806451612903
20758,2021-03-16 20:00:00,61,False,-0.046875
20759,2021-03-16 21:00:00,60,False,-0.01639344262295082
20760,2021-03-16 22:00:00,61,False,0.016666666666666666
20761,2021-03-16 23:00:00,61,False,0.0
20762,2021-03-17 00:00:00,62,False,0.01639344262295082
20763,2021-03-17 01:00:00,65,False,0.04838709677419355
20764,2021-03-17 02:00:00,69,False,0.06153846153846154
20765,2021-03-17 03:00:00,80,False,0.15942028985507245
20766,2021-03-17 04:00:00,100,False,0.25
20767,2021-03-17 05:00:00,84,False,-0.16
20768,2021-03-17 06:00:00,77,False,-0.08333333333333333
20769,2021-03-17 07:00:00,76,False,-0.012987012987012988
20770,2021-03-17 08:00:00,77,False,0.013157894736842105
20771,2021-03-17 09:00:00,77,False,0.0
20772,2021-03-17 10:00:00,75,False,-0.025974025974025976
20773,2021-03-17 11:00:00,67,False,-0.10666666666666667
20774,2021-03-17 12:00:00,69,False,0.029850746268656716
20775,2021-03-17 13:00:00,73,False,0.057971014492753624
20776,2021-03-17 14:00:00,75,False,0.0273972602739726
20777,2021-03-17 15:00:00,74,False,-0.013333333333333334
20778,2021-03-17 16:00:00,67,False,-0.0945945945945946
20779,2021-03-17 17:00:00,64,False,-0.04477611940298507
20780,2021-03-17 18:00:00,63,False,-0.015625
20781,2021-03-17 19:00:00,63,False,0.0
20782,2021-03-17 20:00:00,59,False,-0.06349206349206349
20783,2021-03-17 21:00:00,60,False,0.01694915254237288
20784,2021-03-17 22:00:00,60,False,0.0
