,date,hedge fund,isPartial,delta
355,2015-01-15 17:00:00,71,False,-0.10126582278481013
356,2015-01-15 18:00:00,65,False,-0.08450704225352113
357,2015-01-15 19:00:00,67,False,0.03076923076923077
358,2015-01-15 20:00:00,77,False,0.14925373134328357
359,2015-01-15 21:00:00,72,False,-0.06493506493506493
360,2015-01-15 22:00:00,73,False,0.013888888888888888
361,2015-01-15 23:00:00,59,False,-0.1917808219178082
362,2015-01-16 00:00:00,62,False,0.05084745762711865
363,2015-01-16 01:00:00,65,False,0.04838709677419355
364,2015-01-16 02:00:00,66,False,0.015384615384615385
365,2015-01-16 03:00:00,80,False,0.21212121212121213
366,2015-01-16 04:00:00,59,False,-0.2625
367,2015-01-16 05:00:00,60,False,0.01694915254237288
368,2015-01-16 06:00:00,54,False,-0.1
369,2015-01-16 07:00:00,38,False,-0.2962962962962963
370,2015-01-16 08:00:00,44,False,0.15789473684210525
371,2015-01-16 09:00:00,44,False,0.0
372,2015-01-16 10:00:00,41,False,-0.06818181818181818
373,2015-01-16 11:00:00,39,False,-0.04878048780487805
374,2015-01-16 12:00:00,37,False,-0.05128205128205128
375,2015-01-16 13:00:00,51,False,0.3783783783783784
376,2015-01-16 14:00:00,56,False,0.09803921568627451
377,2015-01-16 15:00:00,63,False,0.125
378,2015-01-16 16:00:00,62,False,-0.015873015873015872
379,2015-01-16 17:00:00,56,False,-0.0967741935483871
380,2015-01-16 18:00:00,51,False,-0.08928571428571429
381,2015-01-16 19:00:00,59,False,0.1568627450980392
382,2015-01-16 20:00:00,56,False,-0.05084745762711865
383,2015-01-16 21:00:00,57,False,0.017857142857142856
384,2015-01-16 22:00:00,53,False,-0.07017543859649122
385,2015-01-16 23:00:00,45,False,-0.1509433962264151
386,2015-01-17 00:00:00,40,False,-0.1111111111111111
387,2015-01-17 01:00:00,46,False,0.15
388,2015-01-17 02:00:00,48,False,0.043478260869565216
389,2015-01-17 03:00:00,50,False,0.041666666666666664
390,2015-01-17 04:00:00,44,False,-0.12
391,2015-01-17 05:00:00,47,False,0.06818181818181818
392,2015-01-17 06:00:00,35,False,-0.2553191489361702
393,2015-01-17 07:00:00,31,False,-0.11428571428571428
394,2015-01-17 08:00:00,28,False,-0.0967741935483871
395,2015-01-17 09:00:00,26,False,-0.07142857142857142
396,2015-01-17 10:00:00,21,False,-0.19230769230769232
397,2015-01-17 11:00:00,24,False,0.14285714285714285
398,2015-01-17 12:00:00,25,False,0.041666666666666664
399,2015-01-17 13:00:00,23,False,-0.08
400,2015-01-17 14:00:00,89,False,2.869565217391304
401,2015-01-17 15:00:00,55,False,-0.38202247191011235
402,2015-01-17 16:00:00,54,False,-0.01818181818181818
403,2015-01-17 17:00:00,43,False,-0.2037037037037037
404,2015-01-17 18:00:00,45,False,0.046511627906976744
405,2015-01-17 19:00:00,48,False,0.06666666666666667
